(0, 20, 0, 0)	0 0
(20, 40, 0, 0)	0 0
(40, 60, 0, 0)	0 0
(60, 80, 0, 0)	0 0
(80, 100, 0, 0)	0 0
(100, 120, 0, 0)	0 0
(120, 140, 0, 0)	0 0
(140, 160, 0, 0)	0 0
(160, 180, 0, 0)	0 0
(180, 200, 0, 0)	0 0
(200, 220, 0, 0)	0 0
(220, 240, 0, 0)	0 0
(240, 260, 0, 0)	0 0
(260, 280, 0, 0)	0 0
(280, 300, 0, 0)	0 0
(300, 320, 0, 0)	0 0
(320, 340, 0, 0)	0 0
(340, 360, 0, 0)	0 0
(360, 380, 0, 0)	0 0
(380, 400, 0, 0)	0 0
(400, 420, 0, 0)	0 0
(420, 440, 0, 0)	0 0
(440, 460, 0, 0)	0 0
(460, 480, 0, 0)	0 0
(480, 500, 0, 0)	0 0
(500, 520, 0, 0)	0 0
(520, 540, 0, 0)	0 0
(540, 560, 0, 0)	0 0
(560, 580, 0, 0)	0 0
(580, 600, 0, 0)	0 0
(600, 620, 0, 0)	0 0
(620, 640, 0, 0)	0 0
(640, 660, 0, 0)	0 0
(660, 680, 0, 0)	0 0
(680, 700, 0, 0)	0 0
(700, 720, 0, 0)	0 0
(720, 740, 0, 0)	0 0
(740, 760, 0, 0)	0 0
(760, 780, 0, 0)	0 0
(780, 800, 0, 0)	0 0
(800, 820, 0, 0)	0 0
(820, 840, 0, 0)	0 0
(840, 860, 0, 0)	0 0
(860, 880, 0, 0)	0 0
(880, 900, 0, 0)	0 0
(900, 920, 0, 0)	0 0
(920, 940, 0, 0)	0 0
(940, 960, 0, 0)	0 0
(960, 980, 0, 0)	0 0
(980, 1000, 0, 0)	0 0
(1000, 1020, 0, 0)	0 0
(1020, 1040, 0, 0)	0 0
(1040, 1060, 0, 0)	0 0
(1060, 1080, 0, 0)	0 0
(1080, 1100, 0, 0)	0 0
(1100, 1120, 0, 0)	0 0
(1120, 1140, 0, 0)	0 0
(1140, 1160, 0, 0)	0 0
(1160, 1180, 0, 0)	0 0
(1180, 1200, 0, 0)	0 0
(1200, 1220, 0, 0)	0 0
(1220, 1240, 0, 0)	0 0
(1240, 1260, 0, 0)	0 0
(1260, 1280, 0, 0)	0 0
(1280, 1300, 0, 0)	0 0
(1300, 1320, 0, 0)	0 0
(1320, 1340, 0, 0)	0 0
(1340, 1360, 0, 0)	0 0
(1360, 1380, 0, 0)	0 0
(1380, 1400, 0, 0)	0 0
(1400, 1420, 0, 0)	0 0
(1420, 1440, 0, 0)	0 0
(1440, 1460, 0, 0)	0 0
(1460, 1480, 0, 0)	0 0
(1480, 1500, 0, 0)	0 0
(1500, 1520, 0, 0)	0 0
(1520, 1540, 0, 0)	0 0
